"fromNode"	"toNode"	"weight"	"direction"	"fromAltName"	"toAltName"
"68"	"SBF1.2"	"SBF1.9"	0.0538569047715434	NA	"SBF1"	"SBF1"
"69"	"SBF1.2"	"SBF1.10"	0.0487826500170314	NA	"SBF1"	"SBF1"
"70"	"SBF1.2"	"SBF1.11"	0.066609480955316	NA	"SBF1"	"SBF1"
"71"	"SBF1.2"	"SBF1.12"	0.0634938372350218	NA	"SBF1"	"SBF1"
"72"	"SBF1.2"	"SBF1.13"	0.0811296113587251	NA	"SBF1"	"SBF1"
"73"	"SBF1.2"	"SBF1.14"	0.0829623003644515	NA	"SBF1"	"SBF1"
"74"	"SBF1.2"	"SBF1.15"	0.0543643139152166	NA	"SBF1"	"SBF1"
"75"	"SBF1.2"	"SBF1.16"	0.0648490166753066	NA	"SBF1"	"SBF1"
"76"	"SBF1.2"	"SBF1.17"	0.0605384506333351	NA	"SBF1"	"SBF1"
"77"	"SBF1.2"	"SBF1.18"	0.0509339135148541	NA	"SBF1"	"SBF1"
"78"	"SBF1.2"	"SBF1.19"	0.063253176079825	NA	"SBF1"	"SBF1"
"79"	"SBF1.2"	"SBF1.20"	0.0718737279224975	NA	"SBF1"	"SBF1"
"80"	"SBF1.2"	"SBF1.21"	0.0744218109366875	NA	"SBF1"	"SBF1"
"81"	"SBF1.2"	"SBF1.22"	0.0612625018633146	NA	"SBF1"	"SBF1"
"82"	"SBF1.2"	"SBF1.23"	0.0551249767467489	NA	"SBF1"	"SBF1"
"83"	"SBF1.2"	"SBF1.24"	0.0496774671362258	NA	"SBF1"	"SBF1"
"84"	"SBF1.2"	"SBF1.25"	0.0373833644746128	NA	"SBF1"	"SBF1"
"85"	"SBF1.2"	"SBF1.26"	0.0744233915638646	NA	"SBF1"	"SBF1"
"86"	"SBF1.2"	"SBF1.27"	0.0649047432084676	NA	"SBF1"	"SBF1"
"87"	"SBF1.2"	"SBF1.28"	0.0593135618317122	NA	"SBF1"	"SBF1"
"88"	"SBF1.2"	"SBF1.29"	0.0427989347457728	NA	"SBF1"	"SBF1"
"89"	"SBF1.2"	"SBF1.30"	0.062700053278146	NA	"SBF1"	"SBF1"
"90"	"SBF1.2"	"SBF1.31"	0.0423375950600422	NA	"SBF1"	"SBF1"
"91"	"SBF1.3"	"SBF1.4"	0.173012966859384	NA	"SBF1"	"SBF1"
"92"	"SBF1.3"	"SBF1.5"	0.152873219130847	NA	"SBF1"	"SBF1"
"93"	"SBF1.3"	"SBF1.6"	0.0964831732108544	NA	"SBF1"	"SBF1"
"94"	"SBF1.3"	"SBF1.7"	0.053460273332295	NA	"SBF1"	"SBF1"
"95"	"SBF1.3"	"SBF1.8"	0.0939823898326326	NA	"SBF1"	"SBF1"
"96"	"SBF1.3"	"SBF1.9"	0.0705303161459788	NA	"SBF1"	"SBF1"
"97"	"SBF1.3"	"SBF1.10"	0.0765320879441873	NA	"SBF1"	"SBF1"
"98"	"SBF1.3"	"SBF1.11"	0.133463025737975	NA	"SBF1"	"SBF1"
"99"	"SBF1.3"	"SBF1.12"	0.128429097134249	NA	"SBF1"	"SBF1"
"100"	"SBF1.3"	"SBF1.13"	0.177013611930367	NA	"SBF1"	"SBF1"
"101"	"SBF1.3"	"SBF1.14"	0.170562276360486	NA	"SBF1"	"SBF1"
"102"	"SBF1.3"	"SBF1.15"	0.103442142669131	NA	"SBF1"	"SBF1"
"103"	"SBF1.3"	"SBF1.16"	0.109239357102432	NA	"SBF1"	"SBF1"
"104"	"SBF1.3"	"SBF1.17"	0.12729555300925	NA	"SBF1"	"SBF1"
"105"	"SBF1.3"	"SBF1.18"	0.125482988543807	NA	"SBF1"	"SBF1"
"106"	"SBF1.3"	"SBF1.19"	0.124677921859367	NA	"SBF1"	"SBF1"
"107"	"SBF1.3"	"SBF1.20"	0.149411501433402	NA	"SBF1"	"SBF1"
"108"	"SBF1.3"	"SBF1.21"	0.161623350197021	NA	"SBF1"	"SBF1"
"109"	"SBF1.3"	"SBF1.22"	0.126099877358475	NA	"SBF1"	"SBF1"
"110"	"SBF1.3"	"SBF1.23"	0.123803933162017	NA	"SBF1"	"SBF1"
"111"	"SBF1.3"	"SBF1.24"	0.100772772047598	NA	"SBF1"	"SBF1"
"112"	"SBF1.3"	"SBF1.25"	0.076936365495846	NA	"SBF1"	"SBF1"
"113"	"SBF1.3"	"SBF1.26"	0.136244905133389	NA	"SBF1"	"SBF1"
"114"	"SBF1.3"	"SBF1.27"	0.143532959666022	NA	"SBF1"	"SBF1"
"115"	"SBF1.3"	"SBF1.28"	0.135741027594362	NA	"SBF1"	"SBF1"
"116"	"SBF1.3"	"SBF1.29"	0.084439334919331	NA	"SBF1"	"SBF1"
"117"	"SBF1.3"	"SBF1.30"	0.132345067399474	NA	"SBF1"	"SBF1"
"118"	"SBF1.3"	"SBF1.31"	0.0869968402846757	NA	"SBF1"	"SBF1"
"119"	"SBF1.4"	"SBF1.5"	0.14327450867786	NA	"SBF1"	"SBF1"
"120"	"SBF1.4"	"SBF1.6"	0.0896951532468903	NA	"SBF1"	"SBF1"
"121"	"SBF1.4"	"SBF1.7"	0.0523754519728834	NA	"SBF1"	"SBF1"
"122"	"SBF1.4"	"SBF1.8"	0.121865171676057	NA	"SBF1"	"SBF1"
"123"	"SBF1.4"	"SBF1.9"	0.0933957767115288	NA	"SBF1"	"SBF1"
"124"	"SBF1.4"	"SBF1.10"	0.071956834440175	NA	"SBF1"	"SBF1"
"125"	"SBF1.4"	"SBF1.11"	0.137511136210214	NA	"SBF1"	"SBF1"
"126"	"SBF1.4"	"SBF1.12"	0.127543786672954	NA	"SBF1"	"SBF1"
"127"	"SBF1.4"	"SBF1.13"	0.170144667728308	NA	"SBF1"	"SBF1"
"128"	"SBF1.4"	"SBF1.14"	0.155001681626653	NA	"SBF1"	"SBF1"
"129"	"SBF1.4"	"SBF1.15"	0.110259169265386	NA	"SBF1"	"SBF1"
"130"	"SBF1.4"	"SBF1.16"	0.12879463537525	NA	"SBF1"	"SBF1"
"131"	"SBF1.4"	"SBF1.17"	0.133954768104133	NA	"SBF1"	"SBF1"
"132"	"SBF1.4"	"SBF1.18"	0.138258542248748	NA	"SBF1"	"SBF1"
"133"	"SBF1.4"	"SBF1.19"	0.140680921512586	NA	"SBF1"	"SBF1"
"134"	"SBF1.4"	"SBF1.20"	0.13914648151737	NA	"SBF1"	"SBF1"
"135"	"SBF1.4"	"SBF1.21"	0.172602216350578	NA	"SBF1"	"SBF1"
"136"	"SBF1.4"	"SBF1.22"	0.139542858137286	NA	"SBF1"	"SBF1"
"137"	"SBF1.4"	"SBF1.23"	0.135517677668127	NA	"SBF1"	"SBF1"
"138"	"SBF1.4"	"SBF1.24"	0.102195248845894	NA	"SBF1"	"SBF1"
"139"	"SBF1.4"	"SBF1.25"	0.0896474747308115	NA	"SBF1"	"SBF1"
"140"	"SBF1.4"	"SBF1.26"	0.13492150146074	NA	"SBF1"	"SBF1"
"141"	"SBF1.4"	"SBF1.27"	0.156533879340054	NA	"SBF1"	"SBF1"
"142"	"SBF1.4"	"SBF1.28"	0.131554540970683	NA	"SBF1"	"SBF1"
"143"	"SBF1.4"	"SBF1.29"	0.0928904757803177	NA	"SBF1"	"SBF1"
"144"	"SBF1.4"	"SBF1.30"	0.149548584836369	NA	"SBF1"	"SBF1"
"145"	"SBF1.4"	"SBF1.31"	0.0994926393966045	NA	"SBF1"	"SBF1"
"146"	"SBF1.5"	"SBF1.6"	0.083279628583926	NA	"SBF1"	"SBF1"
"147"	"SBF1.5"	"SBF1.7"	0.0427250148602427	NA	"SBF1"	"SBF1"
"148"	"SBF1.5"	"SBF1.8"	0.0944661954789156	NA	"SBF1"	"SBF1"
"149"	"SBF1.5"	"SBF1.9"	0.0627451975436121	NA	"SBF1"	"SBF1"
"150"	"SBF1.5"	"SBF1.10"	0.0671619720532195	NA	"SBF1"	"SBF1"
"151"	"SBF1.5"	"SBF1.11"	0.109819274288071	NA	"SBF1"	"SBF1"
"152"	"SBF1.5"	"SBF1.12"	0.123028978152688	NA	"SBF1"	"SBF1"
"153"	"SBF1.5"	"SBF1.13"	0.163600404420935	NA	"SBF1"	"SBF1"
"154"	"SBF1.5"	"SBF1.14"	0.146688231034524	NA	"SBF1"	"SBF1"
"155"	"SBF1.5"	"SBF1.15"	0.0959377717551333	NA	"SBF1"	"SBF1"
"156"	"SBF1.5"	"SBF1.16"	0.106979639026306	NA	"SBF1"	"SBF1"
"157"	"SBF1.5"	"SBF1.17"	0.114002541175984	NA	"SBF1"	"SBF1"
"158"	"SBF1.5"	"SBF1.18"	0.122475516011278	NA	"SBF1"	"SBF1"
"159"	"SBF1.5"	"SBF1.19"	0.116867248921851	NA	"SBF1"	"SBF1"
"160"	"SBF1.5"	"SBF1.20"	0.137379083259317	NA	"SBF1"	"SBF1"
"161"	"SBF1.5"	"SBF1.21"	0.147866013599979	NA	"SBF1"	"SBF1"
"162"	"SBF1.5"	"SBF1.22"	0.121093767950287	NA	"SBF1"	"SBF1"
"163"	"SBF1.5"	"SBF1.23"	0.125407535455529	NA	"SBF1"	"SBF1"
"164"	"SBF1.5"	"SBF1.24"	0.0968396395141039	NA	"SBF1"	"SBF1"
"165"	"SBF1.5"	"SBF1.25"	0.0683876975457	NA	"SBF1"	"SBF1"
"166"	"SBF1.5"	"SBF1.26"	0.118935266400724	NA	"SBF1"	"SBF1"
"167"	"SBF1.5"	"SBF1.27"	0.140221346463822	NA	"SBF1"	"SBF1"
"168"	"SBF1.5"	"SBF1.28"	0.128577223071215	NA	"SBF1"	"SBF1"
"169"	"SBF1.5"	"SBF1.29"	0.0778324538480185	NA	"SBF1"	"SBF1"
"170"	"SBF1.5"	"SBF1.30"	0.126502082497867	NA	"SBF1"	"SBF1"
"171"	"SBF1.5"	"SBF1.31"	0.0839838836975816	NA	"SBF1"	"SBF1"
"172"	"SBF1.6"	"SBF1.7"	0.0650513442409107	NA	"SBF1"	"SBF1"
"173"	"SBF1.6"	"SBF1.8"	0.0502474777925353	NA	"SBF1"	"SBF1"
"174"	"SBF1.6"	"SBF1.9"	0.0448314733738434	NA	"SBF1"	"SBF1"
"175"	"SBF1.6"	"SBF1.10"	0.0679004494579183	NA	"SBF1"	"SBF1"
"176"	"SBF1.6"	"SBF1.11"	0.0626342322440967	NA	"SBF1"	"SBF1"
"177"	"SBF1.6"	"SBF1.12"	0.0629456195669786	NA	"SBF1"	"SBF1"
"178"	"SBF1.6"	"SBF1.13"	0.0868442245955492	NA	"SBF1"	"SBF1"
"179"	"SBF1.6"	"SBF1.14"	0.0888202833507017	NA	"SBF1"	"SBF1"
"180"	"SBF1.6"	"SBF1.15"	0.0511010918588014	NA	"SBF1"	"SBF1"
"181"	"SBF1.6"	"SBF1.16"	0.071275745612348	NA	"SBF1"	"SBF1"
"182"	"SBF1.6"	"SBF1.17"	0.070515877681097	NA	"SBF1"	"SBF1"
"183"	"SBF1.6"	"SBF1.18"	0.0517064547553537	NA	"SBF1"	"SBF1"
"184"	"SBF1.6"	"SBF1.19"	0.0716328280382405	NA	"SBF1"	"SBF1"
"185"	"SBF1.6"	"SBF1.20"	0.0802697111594458	NA	"SBF1"	"SBF1"
"186"	"SBF1.6"	"SBF1.21"	0.0720009419016067	NA	"SBF1"	"SBF1"
"187"	"SBF1.6"	"SBF1.22"	0.0577289703301435	NA	"SBF1"	"SBF1"
"188"	"SBF1.6"	"SBF1.23"	0.054778037275569	NA	"SBF1"	"SBF1"
"189"	"SBF1.6"	"SBF1.24"	0.0509910861193044	NA	"SBF1"	"SBF1"
"190"	"SBF1.6"	"SBF1.25"	0.0314460317659931	NA	"SBF1"	"SBF1"
"191"	"SBF1.6"	"SBF1.26"	0.073886163877246	NA	"SBF1"	"SBF1"
"192"	"SBF1.6"	"SBF1.27"	0.0641517966609714	NA	"SBF1"	"SBF1"
